5684,709,5401,6943,6808,1807
5895,2095,5457,1391,2607,1218
293,2559,708,6226,203,103
2539,5181,4373,4652,4285,3974
2234,319,1647,5666,7414,2458
3929,4454,1143,816,6921,708
2607,203,4285,2539,1218,7414
3974,5401,2458,293,3929,5457
2234,5895,1143,6226,4454,1807
5666,6808,816,6943,4373,103
709,4652,1647,2095,5181,2559
6921,1391,2458,5684,103,319
293,1807,203,6808,1647,4454
7414,2559,1391,708,3974,3929
5895,2607,319,6943,5684,4652
4285,4373,5401,709,2234,5181
5666,2539,6226,1143,2095,6921
5457,816,2607,1218,293,2234
5684,1807,3929,3974,709,2095
103,4652,1391,203,816,5895
7414,708,4454,319,2539,5401
2458,5181,6808,5457,1143,5666
1647,1218,4285,6921,2559,6226
203,5401,6943,4373,2095,2234
103,7414,816,4454,5457,709
4652,1807,5895,6226,708,2458
1218,4373,6921,5181,3974,5684
2607,293,6808,319,4285,5666
1391,2539,1143,1647,2559,3929
2458,6943,2095,4285,293,7414
6226,2607,4652,709,1391,6808
203,6921,5457,5401,5895,2559
3974,1647,6943,4454,1218,5666
2234,1807,708,5181,319,816
1143,5684,4373,2539,103,3929
708,5457,4652,5401,5666,1647
1391,319,293,1807,4373,2559
4454,203,2095,4285,5684,6921
5181,1218,103,2539,6808,2234
7414,3974,1143,5895,6943,709
3929,816,6226,2458,2607,2539
5684,5457,7414,4652,1143,293
5401,2234,6226,5666,3974,203
4373,709,709,1218,2458,5895
1807,2095,816,6921,1647,2607
2559,6943,319,5181,4454,1391
6808,3929,1218,4285,103,1807
2095,293,5666,708,5895,2539
103,1143,2607,203,5181,1647
5457,1391,3974,4454,319,6921
6808,6226,4373,3929,4652,7414
2559,2458,5684,816,2234,6943
709,4285,2539,5401,708,1391
2607,4454,3974,293,2458,4373
1647,103,2095,319,7414,709
6921,3929,5181,4652,2234,203
1143,6226,1218,1807,5457,5401
5895,5666,5684,2559,816,4285
6808,6921,3974,708,6943,2607
1807,5666,709,2559,2539,203
7414,6226,5181,816,5684,293
4285,3929,6943,4373,5457,319
1391,1647,5895,1143,5401,6808
2234,2458,4454,2095,4652,1218
103,5666,2559,4373,7414,2607
1218,203,319,2458,1143,1807
816,5401,4652,3974,5895,103
6943,4454,2539,1647,6226,5457
5181,708,4285,2095,6808,5684
709,6921,293,3929,1391,2234
