6326,3941,3314,1626,533,5401
5420,271,3151,316,6226,203
341,2729,694,1712,4342,321
484,816,365,7110,4505,2539
6921,2180,225,1640,2495,9539
2729,6326,4505,5420,6226,484
9539,6921,2539,321,272,3941
365,1712,694,1626,225,3151
203,3314,533,2180,816,4342
316,5401,1640,341,2495,7110
3151,694,816,3941,5420,6921
4505,225,321,4342,6326,316
5401,1712,2180,484,1640,271
7110,1626,6226,533,2539,341
203,365,2495,3314,2729,9539
816,321,6226,1640,2180,1626
3941,203,7110,225,6326,1712
9539,4505,484,3151,341,3312
6921,316,271,365,533,2729
2539,5401,2495,694,4342,5420
6226,9539,6326,816,316,1712
271,7110,533,2495,694,4505
321,1626,6921,5401,484,203
4342,3941,341,2180,365,5420
3314,1640,225,2539,3151,2729
